DATES,U Revenue,D CR,U OE,U NOI,D CAPEX,D WK,U FCF
2017-07-30,14993.041085639285,14925.044825852607,18625.5249590448,1010.4829625652789,2679.650157594751,134833.50203028863,15221.23567549876
2017-08-06,14496.764495453432,14765.970245340985,18625.5249590448,1008.2507716145311,2643.9507253365987,135572.54213168376,15153.019635957375
2017-08-13,14000.487905267577,14606.89566482936,18625.5249590448,1006.0185806637834,2608.2512930784465,136311.58223307892,15084.80359641599
2017-08-20,13504.211315081724,14447.821084317738,18625.5249590448,1003.7863897130355,2572.5518608202938,137050.6223344741,15016.587556874607
2017-08-27,13007.93472489587,14288.746503806115,18625.5249590448,1001.5541987622878,2536.8524285621415,137789.66243586925,14948.371517333222
2017-09-03,12511.658134710016,14129.671923294492,18625.5249590448,999.3220078115401,2501.1529963039893,138528.70253726438,14880.155477791837
2017-09-10,12015.381544524163,13970.597342782869,18625.5249590448,997.0898168607923,2465.453564045837,139267.74263865955,14811.939438250452
2017-09-17,11519.104954338309,13811.522762271246,18625.5249590448,994.8576259100445,2429.7541317876844,140006.7827400547,14743.723398709068
2017-09-24,11022.828364152454,13652.448181759622,18625.5249590448,992.6254349592967,2394.054699529532,140745.82284144984,14675.507359167683
2017-10-01,10526.551773966601,13493.373601248,18625.5249590448,990.393244008549,2358.35526727138,141484.862942845,14607.291319626298
2017-10-08,10674.376556254954,13069.364243510876,18516.043280628117,989.0509406885726,2332.822305117974,138153.5697482063,14551.42573688216
2017-10-15,10822.20133854331,12645.354885773753,18406.56160221143,987.7086373685962,2307.289342964568,134822.27655356756,14495.560154138022
2017-10-22,10970.026120831662,12221.345528036629,18297.079923794747,986.3663340486198,2281.7563808111613,131490.98335892885,14439.694571393884
2017-10-29,11117.850903120016,11797.336170299504,18187.59824537806,985.0240307286435,2256.2234186577552,128159.69016429012,14383.828988649744
2017-11-05,11265.67568540837,11373.326812562382,18078.116566961377,983.6817274086671,2230.690456504349,124828.3969696514,14327.963405905606
2017-11-12,11413.500467696724,10949.317454825257,17968.634888544693,982.3394240886907,2205.157494350943,121497.10377501267,14272.097823161468
2017-11-19,11561.325249985077,10525.308097088135,17859.153210128006,980.9971207687144,2179.624532197537,118165.81058037395,14216.23224041733
2017-11-26,11709.150032273432,10101.29873935101,17749.671531711323,979.654817448738,2154.0915700441305,114834.51738573522,14160.366657673192
2017-12-03,11856.974814561785,9677.289381613886,17640.18985329464,978.3125141287616,2128.5586078907245,111503.2241910965,14104.501074929054
2017-12-10,12004.799596850138,9253.280023876763,17530.708174877953,976.9702108087853,2103.0256457373184,108171.93099645778,14048.635492184916
2017-12-17,12152.624379138491,8829.270666139639,17421.22649646127,975.6279074888089,2077.4926835839124,104840.63780181904,13992.769909440776
2017-12-24,12300.449161426846,8405.261308402514,17311.744818044583,974.2856041688325,2051.9597214305063,101509.34460718033,13936.904326696638
2017-12-31,12448.2739437152,7981.251950665391,17202.2631396279,972.9433008488561,2026.4267592771,98178.05141254161,13881.0387439525
2018-01-07,12357.999861721031,7835.414929762791,16831.780062906208,971.0241051813764,2043.708554252474,98088.59532441974,13825.545744376108
2018-01-14,12267.725779726861,7689.57790886019,16461.296986184516,969.1049095138967,2060.9903492278477,97999.13923629788,13770.052744799716
2018-01-21,12177.451697732693,7543.7408879575905,16090.813909462822,967.185713846417,2078.2721442032216,97909.68314817602,13714.559745223323
2018-01-28,12087.177615738523,7397.903867054991,15720.33083274113,965.2665181789373,2095.5539391785956,97820.22706005417,13659.066745646931
2018-02-04,11996.903533744355,7252.06684615239,15349.847756019439,963.3473225114576,2112.8357341539695,97730.7709719323,13603.573746070539
2018-02-11,11906.629451750185,7106.22982524979,14979.364679297747,961.4281268439779,2130.117529129343,97641.31488381044,13548.080746494146
2018-02-18,11816.355369756016,6960.39280434719,14608.881602576053,959.5089311764981,2147.399324104717,97551.85879568857,13492.587746917754
2018-02-25,11726.081287761846,6814.55578344459,14238.398525854362,957.5897355090184,2164.681119080091,97462.40270756671,13437.094747341362
2018-03-04,11635.807205767678,6668.71876254199,13867.91544913267,955.6705398415387,2181.962914055465,97372.94661944485,13381.60174776497
2018-03-11,11545.533123773508,6522.8817416393895,13497.432372410978,953.751344174059,2199.2447090308387,97283.490531323,13326.108748188577
2018-03-18,11455.25904177934,6377.04472073679,13126.949295689286,951.8321485065793,2216.5265040062122,97194.03444320113,13270.615748612185
2018-03-25,11364.984959785172,6231.207699834189,12756.466218967595,949.9129528390996,2233.808298981586,97104.57835507927,13215.122749035792
2018-04-01,11274.710877791002,6085.370678931589,12385.983142245901,947.9937571716199,2251.09009395696,97015.1222669574,13159.6297494594
2018-04-08,11157.044940098096,6092.043201405242,12385.983142245901,951.6301973627183,2244.5622514617726,97309.16237309123,13045.612455928054
2018-04-15,11039.379002405192,6098.715723878895,12385.983142245901,955.2666375538167,2238.0344089665846,97603.20247922503,12931.595162396708
2018-04-22,10921.713064712287,6105.388246352549,12385.983142245901,958.9030777449151,2231.506566471397,97897.24258535885,12817.57786886536
2018-04-29,10804.047127019383,6112.060768826202,12385.983142245901,962.5395179360135,2224.978723976209,98191.28269149266,12703.560575334015
2018-05-06,10686.381189326477,6118.7332912998545,12385.983142245901,966.1759581271119,2218.4508814810215,98485.32279762648,12589.54328180267
2018-05-13,10568.715251633574,6125.405813773507,12385.983142245901,969.8123983182103,2211.923038985834,98779.3629037603,12475.525988271324
2018-05-20,10451.049313940668,6132.078336247161,12385.983142245901,973.4488385093086,2205.395196490646,99073.4030098941,12361.508694739976
2018-05-27,10333.383376247764,6138.750858720814,12385.983142245901,977.085278700407,2198.8673539954584,99367.44311602792,12247.49140120863
2018-06-03,10215.717438554859,6145.423381194467,12385.983142245901,980.7217188915055,2192.339511500271,99661.48322216174,12133.474107677284
2018-06-10,10098.051500861955,6152.09590366812,12385.983142245901,984.3581590826038,2185.811669005083,99955.52332829555,12019.456814145939
2018-06-17,9980.38556316905,6158.7684261417735,12385.983142245901,987.9945992737022,2179.2838265098953,100249.56343442936,11905.439520614591
2018-06-24,9862.719625476144,6165.440948615426,12385.983142245901,991.6310394648007,2172.7559840147073,100543.60354056317,11791.422227083245
2018-07-01,9745.05368778324,6172.113471089079,12385.983142245901,995.267479655899,2166.22814151952,100837.64364669699,11677.4049335519
2018-07-08,9754.0512758468,6100.574847814779,12385.983142245901,995.6144793334022,2092.587135873067,100676.60919265673,11660.732374918614
2018-07-15,9763.04886391036,6029.036224540479,12385.983142245901,995.9614790109054,2018.9461302266136,100515.57473861647,11644.05981628533
2018-07-22,9772.04645197392,5957.497601266179,12385.983142245901,996.3084786884085,1945.3051245801605,100354.5402845762,11627.387257652046
2018-07-29,9781.044040037481,5885.95897799188,12385.983142245901,996.6554783659117,1871.6641189337074,100193.50583053594,11610.714699018761
2018-08-05,9790.04162810104,5814.420354717579,12385.983142245901,997.0024780434148,1798.0231132872545,100032.47137649568,11594.042140385476
2018-08-12,9799.0392161646,5742.88173144328,12385.983142245901,997.349477720918,1724.3821076408015,99871.43692245542,11577.369581752191
2018-08-19,9808.03680422816,5671.34310816898,12385.983142245901,997.6964773984212,1650.7411019943484,99710.40246841515,11560.697023118908
2018-08-26,9817.03439229172,5599.80448489468,12385.983142245901,998.0434770759243,1577.1000963478953,99549.3680143749,11544.024464485623
2018-09-02,9826.03198035528,5528.26586162038,12385.983142245901,998.3904767534275,1503.4590907014422,99388.33356033463,11527.351905852338
2018-09-09,9835.02956841884,5456.72723834608,12385.983142245901,998.7374764309307,1429.818085054989,99227.29910629438,11510.679347219053
2018-09-16,9844.0271564824,5385.18861507178,12385.983142245901,999.0844761084338,1356.177079408536,99066.2646522541,11494.00678858577
2018-09-23,9853.02474454596,5313.649991797481,12385.983142245901,999.431475785937,1282.536073762083,98905.23019821385,11477.334229952485
2018-09-30,9862.02233260952,5242.11136852318,12385.983142245901,999.7784754634401,1208.89506811563,98744.19574417359,11460.6616713192
2018-10-07,9984.82071588127,5235.338160068663,12624.652161398359,994.8438488752911,1208.89506811563,97969.57984325931,11349.50808485592
2018-10-14,10107.619099153017,5228.564951614145,12863.321180550814,989.9092222871421,1208.89506811563,97194.96394234504,11238.35449839264
2018-10-21,10230.417482424766,5221.791743159627,13101.990199703272,984.9745956989931,1208.89506811563,96420.34804143077,11127.20091192936
2018-10-28,10353.215865696515,5215.018534705108,13340.65921885573,980.039969110844,1208.89506811563,95645.7321405165,11016.04732546608
2018-11-04,10476.014248968262,5208.245326250591,13579.328238008187,975.1053425226951,1208.89506811563,94871.11623960223,10904.8937390028
2018-11-11,10598.812632240011,5201.472117796073,13817.997257160643,970.170715934546,1208.89506811563,94096.50033868795,10793.74015253952
2018-11-18,10721.61101551176,5194.698909341555,14056.6662763131,965.236089346397,1208.89506811563,93321.8844377737,10682.58656607624
2018-11-25,10844.409398783508,5187.925700887037,14295.335295465558,960.301462758248,1208.89506811563,92547.26853685942,10571.43297961296
2018-12-02,10967.207782055257,5181.1524924325195,14534.004314618014,955.366836170099,1208.89506811563,91772.65263594515,10460.27939314968
2018-12-09,11090.006165327004,5174.379283978002,14772.673333770472,950.43220958195,1208.89506811563,90998.03673503088,10349.125806686401
2018-12-16,11212.804548598753,5167.606075523483,15011.34235292293,945.497582993801,1208.89506811563,90223.42083411661,10237.97222022312
2018-12-23,11335.602931870502,5160.832867068965,15250.011372075387,940.5629564056519,1208.89506811563,89448.80493320234,10126.81863375984
2018-12-30,11458.40131514225,5154.0596586144475,15488.680391227843,935.628329817503,1208.89506811563,88674.18903228806,10015.665047296561
2019-01-06,11581.199698413999,5147.28645015993,15727.3494103803,930.6937032293539,1208.89506811563,87899.57313137379,9904.51146083328
2019-01-13,11324.685565705973,5024.110139625495,15448.9022213691,907.4248043072994,1208.89506811563,84187.91386588405,9828.17467360583
