DATES,D Revenue,U CR,D OE,D NOI,U CAPEX,U WK,D FCF
2018-03-11,26151.271094142492,2959.3415144367755,12809.86179278939,1693.7067774013117,3716.4586476153586,214603.831795474,21206.734517704175
2018-03-18,25930.742866660763,2948.6155266383266,12420.95034304176,1701.9808298922878,3712.3242241764624,214603.831795474,20798.834987298585
2018-03-25,25710.21463917903,2937.8895388398782,12032.03889329413,1710.254882383264,3708.189800737566,214603.831795474,20390.935456892992
2018-04-01,25489.6864116973,2927.16355104143,11643.127443546498,1718.5289348742401,3704.05537729867,214603.831795474,19983.0359264874
2018-04-08,25174.208218016516,2886.1243226874644,11618.58706067936,1729.850284440601,3727.797925826167,212871.03527571162,19542.313706874076
2018-04-15,24858.73002433573,2845.085094333499,11594.046677812223,1741.1716340069615,3751.5404743536637,211138.23875594922,19101.591487260754
2018-04-22,24543.251830654946,2804.0458659795336,11569.506294945084,1752.4929835733224,3775.283022881161,209405.44223618685,18660.86926764743
2018-04-29,24227.77363697416,2763.0066376255686,11544.965912077945,1763.8143331396832,3799.0255714086575,207672.64571642445,18220.147048034105
2018-05-06,23912.295443293377,2721.967409271603,11520.425529210808,1775.1356827060438,3822.7681199361546,205939.84919666208,17779.424828420782
2018-05-13,23596.81724961259,2680.9281809176377,11495.88514634367,1786.4570322724046,3846.5106684636517,204207.05267689968,17338.70260880746
2018-05-20,23281.339055931807,2639.8889525636723,11471.34476347653,1797.7783818387654,3870.2532169911483,202474.2561571373,16897.980389194137
2018-05-27,22965.860862251026,2598.849724209707,11446.804380609392,1809.0997314051262,3893.9957655186454,200741.4596373749,16457.258169580815
2018-06-03,22650.38266857024,2557.8104958557415,11422.263997742255,1820.4210809714868,3917.7383140461425,199008.66311761254,16016.53594996749
2018-06-10,22334.904474889456,2516.7712675017765,11397.723614875116,1831.7424305378477,3941.480862573639,197275.86659785014,15575.813730354168
2018-06-17,22019.42628120867,2475.732039147811,11373.183232007977,1843.0637801042085,3965.223411101136,195543.07007808777,15135.091510740844
2018-06-24,21703.948087527886,2434.6928107938456,11348.64284914084,1854.385129670569,3988.965959628633,193810.27355832537,14694.369291127521
2018-07-01,21388.4698938471,2393.65358243988,11324.102466273702,1865.70647923693,4012.70850815613,192077.477038563,14253.647071514199
2018-07-08,21186.373734181623,2326.732742152736,11316.72866642674,1885.2470959074008,3878.150248465842,190558.29634380576,14251.170191970876
2018-07-15,20984.277574516145,2259.8119018655925,11309.354866579779,1904.7877125778714,3743.5919887755545,189039.11564904853,14248.693312427553
2018-07-22,20782.18141485067,2192.8910615784484,11301.981066732817,1924.3283292483422,3609.0337290852667,187519.9349542913,14246.21643288423
2018-07-29,20580.085255185193,2125.970221291305,11294.607266885856,1943.868945918813,3474.475469394979,186000.75425953406,14243.739553340907
2018-08-05,20377.989095519715,2059.0493810041608,11287.233467038894,1963.4095625892837,3339.9172097046912,184481.57356477683,14241.262673797584
2018-08-12,20175.892935854237,1992.1285407170171,11279.859667191931,1982.9501792597546,3205.3589500144035,182962.3928700196,14238.785794254261
2018-08-19,19973.796776188763,1925.207700429873,11272.48586734497,2002.4907959302254,3070.8006903241157,181443.2121752624,14236.308914710939
2018-08-26,19771.700616523285,1858.2868601427294,11265.112067498008,2022.031412600696,2936.242430633828,179924.03148050516,14233.832035167616
2018-09-02,19569.604456857807,1791.3660198555854,11257.738267651046,2041.572029271167,2801.6841709435403,178404.85078574793,14231.355155624293
2018-09-09,19367.50829719233,1724.4451795684417,11250.364467804086,2061.1126459416378,2667.1259112532525,176885.6700909907,14228.87827608097
2018-09-16,19165.412137526855,1657.5243392812977,11242.990667957123,2080.6532626121084,2532.567651562965,175366.48939623346,14226.401396537647
2018-09-23,18963.315977861377,1590.6034989941538,11235.616868110163,2100.1938792825795,2398.0093918726775,173847.30870147623,14223.924516994324
2018-09-30,18761.2198181959,1523.68265870701,11228.2430682632,2119.73449595305,2263.4511321823898,172328.128006719,14221.447637451001
2018-10-07,18855.690699080857,1523.7629333259786,10950.910357647857,2292.3482673605586,2257.120424533084,171819.455962724,14320.056189219416
2018-10-14,18950.161579965814,1523.8432079449472,10673.577647032515,2464.9620387680675,2250.7897168837785,171310.783918729,14418.66474098783
2018-10-21,19044.63246085077,1523.9234825639157,10396.244936417172,2637.575810175576,2244.459009234473,170802.111874734,14517.273292756243
2018-10-28,19139.10334173573,1524.0037571828843,10118.912225801829,2810.1895815830844,2238.128301585167,170293.439830739,14615.881844524658
2018-11-04,19233.574222620686,1524.084031801853,9841.579515186486,2982.8033529905933,2231.797593935861,169784.767786744,14714.490396293073
2018-11-11,19328.045103505643,1524.1643064208215,9564.246804571143,3155.417124398102,2225.4668862865556,169276.095742749,14813.098948061486
2018-11-18,19422.5159843906,1524.2445810397899,9286.9140939558,3328.0308958056103,2219.13617863725,168767.423698754,14911.7074998299
2018-11-25,19516.986865275558,1524.3248556587585,9009.581383340457,3500.6446672131187,2212.8054709879443,168258.75165475902,15010.316051598315
2018-12-02,19611.457746160515,1524.405130277727,8732.248672725114,3673.2584386206277,2206.4747633386387,167750.07961076402,15108.92460336673
2018-12-09,19705.928627045472,1524.4854048966956,8454.915962109771,3845.872210028136,2200.144055689333,167241.40756676902,15207.533155135143
2018-12-16,19800.39950793043,1524.5656795156642,8177.583251494429,4018.485981435645,2193.813348040027,166732.73552277402,15306.141706903556
2018-12-23,19894.870388815387,1524.6459541346328,7900.250540879086,4191.0997528431535,2187.4826403907214,166224.06347877902,15404.750258671971
2018-12-30,19989.341269700344,1524.7262287536014,7622.917830263743,4363.713524250662,2181.1519327414157,165715.39143478402,15503.358810440386
2019-01-06,20083.8121505853,1524.80650337257,7345.5851196484,4536.32729565817,2174.82122509211,165206.71939078902,15601.9673622088
2019-01-13,19555.988637372328,1525.6424541476983,7483.1400695373795,4319.604459026757,2170.4362772129443,164879.6456193756,15400.771403316858
2019-01-20,19028.16512415935,1526.4784049228267,7620.695019426358,4102.881622395342,2166.0513293337785,164552.5718479622,15199.575444424916
