"A","B","C","D","DR OF FCF***","Clase"
"0.0054202733525545","-0.0040044201655456","0.034977961272112","-0.0097827941315632","8082.8741413525","1"
"-0.10454003958167","0.037130188862138","-0.051683221112023","0.020749418251005","19.183989665","0"
"-0.045711905403374","0.015924513282713","0.015120403551335","-0.0070735401673228","71644.248244967","0"
"-0.025084652624772","0.022752786853089","-0.015653086131482","0.00091906191992577","5.1691518325","0"
"0.030385757494424","-0.013692162425383","-0.016862111560424","0.0011207048537921","6434.8502847642","0"
"-0.0204745115405","0.0062933424645289","0.0077781701471379","0.0014257717736066","4948.1646212558","0"
"0.0061317415226654","0.0033709973419904","0.032929876405247","0.020211620304997","6.2719227665583","1"
"0.045617191700174","-0.011423339033332","-0.015607973336898","0.0030965621625889","269071.42666667","1"
"-0.040429545420418","0.01948555100615","0.0053216680075737","-0.022478787544644","9869.3869864469","0"
"-0.31750017237947","0.18435057878042","0.1118038583631","-0.016626493129674","15.503732547692","0"
"-0.048598438397618","0.026746440729067","0.011413944449349","-0.0035579372618541","5908.2775829134","0"
"0.0068790876781169","-0.008801044174223","-0.0092861291042867","-0.0043863408716508","750.37179947667","0"
"0.071772047337645","-0.027819778475722","-0.0091694273238478","0.00095473041862176","523.25765","1"
"0.097897027487383","-0.067437014493505","-0.019723040412878","0.0039031098687668","3143.2686842292","1"
"-0.23792319331505","0.14950695643677","0.045440904859765","0.00041789668944634","3005.9782279767","0"
"-0.013145848867898","0.025370484512815","-0.37604545824881","0.0062736875080544","75.517220293433","0"
"0.044265740447065","-0.002059411279795","-0.02586184250832","0.00094266973817456","1485.72747121","1"
"0.10757639945447","-0.037919730550495","-0.001962680055273","-0.00083473078362824","6544.1748607445","1"
"-0.36976437910326","0.2249267092913","0.037050358209705","0.023479027327526","349.34264199","0"
"-0.054030471863402","0.034986351539496","0.0071333525454901","0.00030471569391501","13821.485388636","0"
"0.0073122846357741","-0.0030786867073708","-0.020697229397029","0.0020114331302405","87636.877045455","0"
"-0.012117490135933","-0.0015946882067306","0.0018050087572335","-0.01909266512266","4328.3632952975","0"
"-0.27006850486988","0.1966856968526","0.1718399923203","0.00071144531353782","211.96850404333","1"
"0.00020433334385805","-0.00401640285488","-0.0010609852262887","0.00040816980225987","3088.09660332","0"
"-0.41772936386972","0.24120515479815","0.084849234088853","-0.0088984532884265","73668.8181","0"
"0.041324649956814","-0.0037478681194536","-0.031840329351465","-0.0050504157271199","44.2139230525","1"
"0.016614639859563","-0.0017987868854526","-0.009898678184288","-0.00039078215442003","28260.528129785","1"
"0.015499044730483","0.0024565286516277","-0.00026917461184539","0.00064606080654409","22343.209288889","1"
"0.045037021376978","-0.002843327115944","-0.0094439420433316","0.0019526266412098","4549.48070276","1"
"-0.014845944005327","-0.0070133184021073","-0.0013904744908293","-0.0032231772692794","4752.2016038625","0"
"-0.058533141379067","0.065000260488778","0.17485711699783","-0.00087607816300655","1207.081918135","1"
"0.020471131191856","-0.021968860713046","-0.026950998501892","-0.0021880004679488","730.18178580429","0"
"0.00095880199694653","-0.0024298681266462","-0.020857182713338","0.00056940809822508","30.237620258864","0"
"-0.041585625043463","0.034823468640804","0.0070477013284983","-0.0007776237551196","30834.621326731","1"
"0.01925502861675","0.0031361162709273","-0.013871443575541","-0.00047447718935294","633.04641649","1"
"-0.17724380623685","0.011685515237122","0.29085590343149","-0.023287539700971","151.18286487806","1"
"-0.027055329143441","0.0062968454405477","-0.039063143535034","-0.0037476261093649","7622.9007793611","0"
"0.05592909663863","0.094746634668624","-0.0056642670581833","0.0068365778354925","17973.002451272","1"
"-0.065478483599363","0.067805193491904","0.0098019472602433","0.0045136427692599","20173072.295227","1"
"-0.067200764492734","0.019692498499142","0.019094672924772","-0.0051364199498067","234.2717385125","0"
"-0.0018515827496118","0.0023367858436206","0.0034503287337495","0.0076791571809895","1137.9557091325","1"
"-0.066066794037488","0.043527441210196","0.020767006759232","-0.014384294060255","6047.4665818182","0"
"0.0071183805494003","-0.0027553506643695","-0.013007272901966","-0.0017184260557615","1015.1530823125","0"
